drug	phenotype	max_phase_for_ind
CHEMBL1742982	D003930	4
CHEMBL1201587	D006086	2
CHEMBL1201587	D015451	4
CHEMBL870	D010024	Not Applicable
CHEMBL870	D015663	4
CHEMBL2109540	D006938	4
CHEMBL1110	D043183	4
CHEMBL661	D001007	4
CHEMBL1113	D003866	4
CHEMBL1201570	D001172	Not Applicable
CHEMBL231779	D020521	4
CHEMBL231779	D020246	Not Applicable
CHEMBL514800	D013167	3
CHEMBL514800	D001528	3
CHEMBL514800	D011565	4
CHEMBL514800	D015535	4
CHEMBL514800	D001172	2
CHEMBL1471	D015658	1
CHEMBL1201192	D002289	1
CHEMBL25	D007246	3
CHEMBL25	D020521	4
CHEMBL1487	D051436	Not Applicable
CHEMBL1487	D003920	3
CHEMBL1487	D011225	3
CHEMBL1487	D003251	1
CHEMBL517712	D006255	4
CHEMBL1963681	D007172	4
CHEMBL1489	D002289	2
CHEMBL1489	D000754	4
CHEMBL1542	D001172	4
CHEMBL1542	D014657	3
CHEMBL639	D006255	4
CHEMBL701	D019970	2
CHEMBL701	D014029	2
CHEMBL46740	D010024	3
CHEMBL1200500	D006255	4
CHEMBL1200500	D009298	2
CHEMBL1789843	D001172	2
CHEMBL1789843	D012595	2
CHEMBL632	D005901	2
CHEMBL1497	D015508	4
CHEMBL1201583	D001201	2
CHEMBL1201583	D012164	3
CHEMBL1200963	D005902	4
CHEMBL2103749	D009203	4
CHEMBL325041	D006086	2
CHEMBL325041	D008223	3
CHEMBL325041	D008545	2
CHEMBL325041	D009447	2
CHEMBL957	D029424	2
CHEMBL957	D054990	3
CHEMBL220491	D005902	4
CHEMBL1370	D003424	Not Applicable
CHEMBL1370	D057765	3
CHEMBL1370	D015508	4
CHEMBL1201748	D002294	2
CHEMBL1200666	D000152	2
CHEMBL1201834	D006073	3
CHEMBL1773	D003110	4
CHEMBL1773	D021441	3
CHEMBL1560	D003928	4
CHEMBL513	D005909	4
CHEMBL513	D008527	4
CHEMBL513	D009101	4
CHEMBL723	D004827	3
CHEMBL118	D011125	4
CHEMBL118	D011225	2
CHEMBL2403108	D002289	4
CHEMBL1201831	D015535	4
CHEMBL1201577	D006528	2
CHEMBL1201577	D009303	3
CHEMBL1042	D051436	Not Applicable
CHEMBL1042	D015658	3
CHEMBL1042	D011014	1
CHEMBL1042	D020529	3
CHEMBL2040682	D006255	4
CHEMBL30	D010437	4
CHEMBL1750	D015470	4
CHEMBL452	D009437	4
CHEMBL160	D009190	3
CHEMBL160	D011565	4
CHEMBL803	D008223	4
CHEMBL1421	D015464	4
CHEMBL178	D015470	4
CHEMBL1201129	D007938	3
CHEMBL1201550	D009101	1
CHEMBL1200515	D006973	4
CHEMBL1533	D006470	3
CHEMBL384467	D001988	3
CHEMBL1201863	D005764	Not Applicable
CHEMBL12	D004827	4
CHEMBL181	D006973	4
CHEMBL181	D009765	3
CHEMBL139	D013167	4
CHEMBL139	D002280	2
CHEMBL139	D001172	4
CHEMBL2107333	D020529	3
CHEMBL932	D015658	1
CHEMBL964	D019970	2
CHEMBL92	D010190	4
CHEMBL53463	D008654	3
CHEMBL53463	D010051	Not Applicable
CHEMBL1433	D015179	2
CHEMBL1433	D010518	4
CHEMBL465	D043183	2
CHEMBL1200969	D011470	Not Applicable
CHEMBL1095097	D001281	2
CHEMBL1174	D009203	4
CHEMBL1683590	D002289	3
CHEMBL58323	D004827	4
CHEMBL58323	D004828	4
CHEMBL553	D008654	2
CHEMBL553	D010190	4
