drug	target
CHEMBL4297711	ENSG00000100652
CHEMBL2107832	ENSG00000169032
CHEMBL3545179	ENSG00000198400
CHEMBL1503	ENSG00000105675
CHEMBL1503	ENSG00000186009
CHEMBL1236924	ENSG00000132170
CHEMBL296913	ENSG00000073756
CHEMBL1206690	ENSG00000073756
CHEMBL3833353	ENSG00000004948
CHEMBL3833353	ENSG00000132329
CHEMBL2103758	ENSG00000004948
CHEMBL2103758	ENSG00000132329
CHEMBL1201180	ENSG00000073756
CHEMBL1201180	ENSG00000095303
CHEMBL139	ENSG00000073756
CHEMBL139	ENSG00000095303
CHEMBL1743035	ENSG00000169194
CHEMBL2364652	ENSG00000180340
CHEMBL2109298	ENSG00000091879
CHEMBL1571	ENSG00000137869
CHEMBL4297837	ENSG00000185291
CHEMBL2109257	ENSG00000128052
CHEMBL1200692	ENSG00000144891
CHEMBL3301588	ENSG00000074181
CHEMBL4594550	ENSG00000188389
CHEMBL1200405	ENSG00000169252
CHEMBL1201295	ENSG00000169252
CHEMBL1200690	ENSG00000126895
CHEMBL1200690	ENSG00000166148
CHEMBL1200690	ENSG00000198049
CHEMBL1200521	ENSG00000179097
CHEMBL1505	ENSG00000179097
CHEMBL1201163	ENSG00000112038
CHEMBL658	ENSG00000112038
CHEMBL2001019	ENSG00000105976
CHEMBL573352	ENSG00000068654
CHEMBL3545346	ENSG00000168959
CHEMBL2107349	ENSG00000178394
CHEMBL372205	ENSG00000178394
CHEMBL1200828	ENSG00000168539
CHEMBL1201227	ENSG00000168539
CHEMBL1200764	ENSG00000133019
CHEMBL978	ENSG00000133019
CHEMBL3545432	ENSG00000173692
CHEMBL3545432	ENSG00000126067
CHEMBL3545432	ENSG00000008018
CHEMBL3545432	ENSG00000100804
CHEMBL3545432	ENSG00000204264
CHEMBL3545432	ENSG00000240065
CHEMBL3545432	ENSG00000142507
CHEMBL3545432	ENSG00000115233
CHEMBL3545432	ENSG00000129084
CHEMBL3545432	ENSG00000106588
CHEMBL3545432	ENSG00000100567
CHEMBL3545432	ENSG00000041357
CHEMBL3545432	ENSG00000143106
CHEMBL3545432	ENSG00000100902
